elapsed_s,phase,rot_x_100,rot_y_100,lin_x_100,lin_y_100,pen,bias_z_100,num_fields,line_kind,raw
15.374830,0,,,,,,,2,text,",1.51"
15.377501,0,,,,,,,5,text,",13.13,-49.28,0,938.50"
15.387835,0,-0.51,1.51,-19.65,-49.16,0,938.50,6,imu,"-0.51,1.51,-19.65,-49.16,0,938.50"
15.400538,0,-0.27,1.76,-55.06,-50.24,0,938.50,6,imu,"-0.27,1.76,-55.06,-50.24,0,938.50"
15.410824,0,,,,,,,1,text,0.47
15.410930,0,,,,,,,3,text,",0.53,-48."
15.413571,0,,,,,,,4,text,"00,-56.58,0,938.50"
15.423414,0,1.81,-0.69,-40.35,-59.09,0,938.50,6,imu,"1.81,-0.69,-40.35,-59.09,0,938.50"
15.436033,0,2.79,-1.67,-33.41,-58.73,0,938.50,6,imu,"2.79,-1.67,-33.41,-58.73,0,938.50"
15.448917,0,2.06,0.66,-24.79,-77.16,0,938.50,6,imu,"2.06,0.66,-24.79,-77.16,0,938.50"
15.459332,0,0.59,3.71,2.48,-86.97,0,938.50,6,imu,"0.59,3.71,2.48,-86.97,0,938.50"
15.472325,0,0.22,4.08,-8.40,-63.16,0,938.50,6,imu,"0.22,4.08,-8.40,-63.16,0,938.50"
15.484934,0,0.59,3.83,-37.59,-56.46,0,938.50,6,imu,"0.59,3.83,-37.59,-56.46,0,938.50"
15.497613,0,1.69,1.88,-47.29,-52.63,0,938.50,6,imu,"1.69,1.88,-47.29,-52.63,0,938.50"
15.507967,0,2.06,1.39,-48.36,-39.71,0,938.50,6,imu,"2.06,1.39,-48.36,-39.71,0,938.50"
15.520558,0,1.57,2.12,-50.16,-40.19,0,938.50,6,imu,"1.57,2.12,-50.16,-40.19,0,938.50"
15.533597,0,1.93,2.00,-39.51,-38.51,0,938.50,6,imu,"1.93,2.00,-39.51,-38.51,0,938.50"
15.543781,0,1.93,1.27,-29.46,-28.10,0,938.50,6,imu,"1.93,1.27,-29.46,-28.10,0,938.50"
15.556788,0,0.83,1.02,-12.71,-30.98,0,938.50,6,imu,"0.83,1.02,-12.71,-30.98,0,938.50"
15.567088,0,,,,,,,3,text,"-0.88,0.17,-"
15.567332,0,,,,,,,4,text,"18.33,-24.40,0,938.50"
15.580319,0,-1.73,-1.05,-23.24,-23.68,0,938.50,6,imu,"-1.73,-1.05,-23.24,-23.68,0,938.50"
15.593353,0,-2.59,-0.57,-35.92,-31.33,0,938.50,6,imu,"-2.59,-0.57,-35.92,-31.33,0,938.50"
15.603818,0,-2.10,-2.52,-56.50,-40.43,0,938.50,6,imu,"-2.10,-2.52,-56.50,-40.43,0,938.50"
15.616822,0,-1.98,-2.77,-52.19,-47.96,0,938.50,6,imu,"-1.98,-2.77,-52.19,-47.96,0,938.50"
15.629694,0,-1.73,-2.64,-43.94,-58.85,0,938.50,6,imu,"-1.73,-2.64,-43.94,-58.85,0,938.50"
15.640167,0,-1.49,-1.79,-18.45,-64.48,0,938.50,6,imu,"-1.49,-1.79,-18.45,-64.48,0,938.50"
15.653146,0,-1.61,-1.42,-8.88,-66.75,0,938.50,6,imu,"-1.61,-1.42,-8.88,-66.75,0,938.50"
15.663672,0,-1.98,-1.79,-6.13,-64.12,0,938.50,6,imu,"-1.98,-1.79,-6.13,-64.12,0,938.50"
15.676728,0,-2.95,-1.05,-32.57,-74.05,0,938.50,6,imu,"-2.95,-1.05,-32.57,-74.05,0,938.50"
15.689264,0,-2.34,0.66,-48.84,-70.10,0,938.50,6,imu,"-2.34,0.66,-48.84,-70.10,0,938.50"
15.699724,0,-1.73,0.90,-59.73,-65.43,0,938.50,6,imu,"-1.73,0.90,-59.73,-65.43,0,938.50"
15.712713,0,-0.88,0.66,-61.04,-63.64,0,938.50,6,imu,"-0.88,0.66,-61.04,-63.64,0,938.50"
15.725709,0,0.59,1.27,-42.38,-57.30,0,938.50,6,imu,"0.59,1.27,-42.38,-57.30,0,938.50"
15.736217,0,0.83,0.78,-19.17,-53.11,0,938.50,6,imu,"0.83,0.78,-19.17,-53.11,0,938.50"
15.749238,0,0.59,-0.69,-1.46,-55.02,0,938.50,6,imu,"0.59,-0.69,-1.46,-55.02,0,938.50"
15.759725,0,-0.63,-0.08,-14.62,-52.51,0,938.50,6,imu,"-0.63,-0.08,-14.62,-52.51,0,938.50"
15.772716,0,-0.88,0.66,-39.51,-53.71,0,938.50,6,imu,"-0.88,0.66,-39.51,-53.71,0,938.50"
15.782975,0,,,,,,,2,text,"-0.39,1.2"
15.785759,0,,,,,,,5,text,"7,-62.24,-50.00,0,938.50"
15.796236,0,1.08,0.66,-77.79,-51.79,0,938.50,6,imu,"1.08,0.66,-77.79,-51.79,0,938.50"
15.808888,0,1.57,1.39,-67.39,-55.62,0,938.50,6,imu,"1.57,1.39,-67.39,-55.62,0,938.50"
15.819342,0,2.18,1.88,-50.16,-53.11,0,938.50,6,imu,"2.18,1.88,-50.16,-53.11,0,938.50"
15.832341,0,2.18,1.51,-31.25,-56.34,0,938.50,6,imu,"2.18,1.51,-31.25,-56.34,0,938.50"
15.845329,0,1.20,0.90,-3.02,-59.57,0,938.50,6,imu,"1.20,0.90,-3.02,-59.57,0,938.50"
15.855747,0,-0.02,1.88,-19.65,-59.21,0,938.50,6,imu,"-0.02,1.88,-19.65,-59.21,0,938.50"
15.868759,0,-0.51,3.71,-42.26,-63.04,0,938.50,6,imu,"-0.51,3.71,-42.26,-63.04,0,938.50"
15.879002,0,,,,,,,3,text,"1.08,2.49,"
15.879255,0,,,,,,,4,text,"-69.18,-58.61,0,938.50"
15.892234,0,1.57,2.00,-64.63,-63.28,0,938.50,6,imu,"1.57,2.00,-64.63,-63.28,0,938.50"
15.905205,0,2.30,2.12,-55.66,-65.91,0,938.50,6,imu,"2.30,2.12,-55.66,-65.91,0,938.50"
15.915647,0,3.03,2.98,-17.50,-67.35,0,938.50,6,imu,"3.03,2.98,-17.50,-67.35,0,938.50"
15.928158,0,2.79,2.00,5.36,-67.35,0,938.50,6,imu,"2.79,2.00,5.36,-67.35,0,938.50"
15.941130,0,2.06,1.76,12.77,-59.81,0,938.50,6,imu,"2.06,1.76,12.77,-59.81,0,938.50"
15.951618,0,0.83,2.24,-22.04,-44.97,0,938.50,6,imu,"0.83,2.24,-22.04,-44.97,0,938.50"
15.964192,0,-0.51,4.08,-42.98,-40.31,0,938.50,6,imu,"-0.51,4.08,-42.98,-40.31,0,938.50"
